Index,Repository,URL,Stars,Year,Expected_Vuln_Type,Has_HNP_Issue,Total_Findings,File_Path,Line_Number,Problem_Type,Sink_Type,Sink_Function,Exploit_Scenario,Risk_Level,Source_Code,Context,Status
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-ActiveZjy-do.php,76,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-ActiveZjy.php,164,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-ActiveZjy.php,164,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-ActiveZjy.php,173,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-ActiveZjy.php,173,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-Zjy-do.php,110,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-Zjy.php,139,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-Zjy.php,139,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-Zjy.php,148,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense),YES,10,temp_likeyun\liKeYun_TbkTool\admin\Creat-Zjy.php,148,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\AdminController.php,207,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\AdminController.php,208,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\CommonController.php,142,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\ImagesController.php,24,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\IndexController.php,177,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\controller\UploadController.php,103,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\init.php,125,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\lib\onedrive.php,20,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense),YES,9,temp_Mintimate\OneindexM\lib\onedrive.php,21,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense),YES,36,temp_likeyun\WeChat-Group-HuoMa\admin\add_qudao.php,84,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense),YES,36,temp_likeyun\WeChat-Group-HuoMa\admin\add_qudao.php,84,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense),YES,36,temp_likeyun\WeChat-Group-HuoMa\admin\add_qudao.php,86,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense),YES,36,temp_likeyun\WeChat-Group-HuoMa\admin\add_qudao.php,86,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense),YES,36,temp_likeyun\WeChat-Group-HuoMa\admin\add_qun.php,81,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
